period,analysis_label,geo,spec,estimator,cmur_mode,years,n_years,CMUR,DMC,RMC,TERR,CFOOT
LATE_2017_2023,published_pc,PT,published_pc,OLS,pp,2017-2023,7,0.20714285714285935,0.010891111523502172,0.02244954823085377,0.05054108441127275,0.027005336838587534
LATE_2017_2023,published_pc,RO,published_pc,OLS,pp,2017-2023,7,-0.03571428571428338,-0.04891255244245915,-0.05022893911639698,0.0141446462063943,-0.019107404361385288
LATE_2017_2023,published_pc,SK,published_pc,OLS,pp,2017-2023,7,1.1714285714285482,0.027435720957547143,-0.0024186780496692523,0.027170315571178483,-0.0011992828905672246
LATE_2017_2023,published_pc,SI,published_pc,OLS,pp,2017-2023,7,-0.17142857142857904,-0.01706588643565982,-0.011773142247556115,0.036708507923473965,0.00878625966495427
LATE_2017_2023,published_pc,ES,published_pc,OLS,pp,2017-2023,7,-0.02857142857142791,0.00467253667387651,0.011358356777339592,0.039570247087425736,0.010981752079438611
LATE_2017_2023,published_pc,SE,published_pc,OLS,pp,2017-2023,7,0.8678571428571678,0.011392304499434014,0.01871688138951725,0.037326865592044414,0.04932798530539155
LATE_2017_2023,common_log_CMUR,AT,primary_common_pc,OLS,log,2017-2023,7,0.019473054568739306,0.007405674507822267,0.0029921520752664785,0.03277719822656261,0.010911678766098014
LATE_2017_2023,common_log_CMUR,BE,primary_common_pc,OLS,log,2017-2023,7,0.00622646759872608,0.005504402215691393,0.04647623083747648,0.03586035067448939,0.025821400894858175
LATE_2017_2023,common_log_CMUR,BG,primary_common_pc,OLS,log,2017-2023,7,0.05767811016754539,-0.02763760160406391,-0.04569768514644378,0.01625785863286735,-0.022200116861762657
LATE_2017_2023,common_log_CMUR,HR,primary_common_pc,OLS,log,2017-2023,7,0.045500139694711436,-0.03184929285814997,-0.0020416670343136067,-0.005726088346948607,-0.02945183546296342
LATE_2017_2023,common_log_CMUR,CY,primary_common_pc,OLS,log,2017-2023,7,0.18574178398708985,-0.013383387521795652,-0.015115008023278623,0.01793599304657249,0.01648919111779135
LATE_2017_2023,common_log_CMUR,CZ,primary_common_pc,OLS,log,2017-2023,7,0.04961722665884247,0.015175257538877383,0.016458570717065486,0.03520492324405347,0.01525155959570842
LATE_2017_2023,common_log_CMUR,DK,primary_common_pc,OLS,log,2017-2023,7,0.03025729015363068,0.007608048107072346,0.0032748055146629954,0.04394141077809218,0.027764453293123277
LATE_2017_2023,common_log_CMUR,EE,primary_common_pc,OLS,log,2017-2023,7,0.09528556373751088,0.042475552031262395,0.0442713248471489,0.10412120524298311,0.06551430547850874
LATE_2017_2023,common_log_CMUR,FI,primary_common_pc,OLS,log,2017-2023,7,-0.03864931848248276,0.001911936679780856,0.005790721330351009,0.05147382867779695,0.04892865022330486
LATE_2017_2023,common_log_CMUR,FR,primary_common_pc,OLS,log,2017-2023,7,-0.027082653883747327,0.011942861443013974,0.021530708356363358,0.03451901214040144,0.022940392456991997
LATE_2017_2023,common_log_CMUR,DE,primary_common_pc,OLS,log,2017-2023,7,0.025304741558858684,0.030289320665740773,-0.002505711510557235,0.041758830840595354,0.02409055729507398
LATE_2017_2023,common_log_CMUR,EL,primary_common_pc,OLS,log,2017-2023,7,0.14731820569765722,0.02947635068960008,0.0232825504234025,0.04298047486694868,0.018070227840950612
LATE_2017_2023,common_log_CMUR,HU,primary_common_pc,OLS,log,2017-2023,7,-0.02626561912221817,0.021323427363351386,0.0015841182085902842,0.024961027758396634,-0.0061464398786079
LATE_2017_2023,common_log_CMUR,IE,primary_common_pc,OLS,log,2017-2023,7,0.021634921730098913,0.011651383323302681,-0.003402150804179277,0.03114344656505426,0.042010778281483044
LATE_2017_2023,common_log_CMUR,IT,primary_common_pc,OLS,log,2017-2023,7,0.02580577300270724,-0.006632671155292835,0.004499059071201591,0.013944046600735208,0.0009211612462011224
LATE_2017_2023,common_log_CMUR,LV,primary_common_pc,OLS,log,2017-2023,7,0.00442718405200497,-0.01716655760034209,0.004321857478202613,0.01183330778229837,0.0009471703204901561
LATE_2017_2023,common_log_CMUR,LT,primary_common_pc,OLS,log,2017-2023,7,-0.010945843008086627,-0.02614483928234902,-0.009193411333649669,0.016321646249141845,0.009770733683091424
LATE_2017_2023,common_log_CMUR,LU,primary_common_pc,OLS,log,2017-2023,7,0.0007433539871806244,0.013319374295427637,0.020687194375417058,0.07100114107107833,0.042043334162062816
LATE_2017_2023,common_log_CMUR,MT,primary_common_pc,OLS,log,2017-2023,7,0.19575063065736295,0.0171165662123953,0.02171503887929244,0.005486496545593817,-0.02266441229388954
LATE_2017_2023,common_log_CMUR,NL,primary_common_pc,OLS,log,2017-2023,7,0.01768905306861459,0.03411546346203761,-0.0018410189220277365,0.05625491564980315,0.03381118449342473
LATE_2017_2023,common_log_CMUR,PL,primary_common_pc,OLS,log,2017-2023,7,-0.07267410763886158,0.0032555961350472285,0.012116567770371582,0.01398172364951281,0.006446850441273002
LATE_2017_2023,common_log_CMUR,PT,primary_common_pc,OLS,log,2017-2023,7,0.08004221952383773,0.017968771016895355,0.02244764165996028,0.058367239095737294,0.03383427477528997
